 282989	nldidlnorm.Item.Component.Resource.mods.name6.role.roleTerm.text
 275773	nldidlnorm.Item.Component.Resource.mods.name5.namePart._attrs
 275773	nldidlnorm.Item.Component.Resource.mods.name5.namePart.text
 274856	nldidlnorm.Item.Component.Resource.mods.name5.namePart1._attrs
 274856	nldidlnorm.Item.Component.Resource.mods.name5.namePart1.text
 272250	nldidlnorm.Item.Component.Resource.mods.identifier4._attrs
 272250	nldidlnorm.Item.Component.Resource.mods.identifier4.text
 271121	Keywords.topic4
 271121	nldidlnorm.Item.Component.Resource.mods.subject.topic4
 270520	nldidlnorm.Item.Component.Resource.mods.name5.role1.roleTerm._attrs
 255538	nldidlnorm.Item.Component.Resource.mods.name1.role2.roleTerm._attrs
 251679	nldidlnorm.Item.Component.Resource.mods.name3.role1.roleTerm.text
 243465	nldidlnorm.Item.Component.Resource.mods.name9._attrs
 236390	nldidlnorm.Item1.Descriptor3.Statement.modified
 231447	nldidlnorm.Item.Component.Resource.mods.name9.role.roleTerm._attrs
 230270	Keywords.topic5
 230270	nldidlnorm.Item.Component.Resource.mods.subject.topic5
 230037	nldidlnorm.Item.Component.Resource.mods.name2.nameIdentifier.text
 225370	nldidlnorm.Item.Component.Resource.mods.titleInfo._attrs
 220766	nldidlnorm.Item.Component.Resource.mods.name3.namePart
 219041	nldidlnorm.Item.Component.Resource.mods.subject1.topic
 209822	nldidlnorm.Item.Component.Resource.mods.name.role.roleTerm1._attrs
 205774	nldidlnorm.Item.Component.Resource.mods.name7.role.roleTerm.text
 203578	nldidlnorm.Item.Component.Resource.mods.name6.role1.roleTerm._attrs
 200578	Keywords._attrs
 200578	nldidlnorm.Item.Component.Resource.mods.subject._attrs
 193598	nldidlnorm.Item.Component.Resource.mods.name1.role.roleTerm1._attrs
 192460	Keywords.topic6
 192460	nldidlnorm.Item.Component.Resource.mods.subject.topic6
 190284	nldidlnorm.Item.Component.Resource.mods.name6.namePart._attrs
 190284	nldidlnorm.Item.Component.Resource.mods.name6.namePart.text
 189609	nldidlnorm.Item.Component.Resource.mods.name6.namePart1._attrs
 189609	nldidlnorm.Item.Component.Resource.mods.name6.namePart1.text
 187756	nldidlnorm.Item.Component.Resource.mods.name4.nameIdentifier._attrs
 187205	nldidlnorm.Item.Component.Resource.mods.name0._attrs
 185367	nldidlnorm.Item.Component.Resource.mods.name4.role1.roleTerm.text
 181351	Journal.relatedItem.originInfo.dateIssued._attrs
 181351	Journal.relatedItem.originInfo.dateIssued.text
 181351	nldidlnorm.Item.Component.Resource.mods.relatedItem.originInfo.dateIssued._attrs
 181351	nldidlnorm.Item.Component.Resource.mods.relatedItem.originInfo.dateIssued.text
 178303	nldidlnorm.Item.Component.Resource.mods.name0.role.roleTerm._attrs
 175758	nldidlnorm.Item.Component.Resource.mods.identifier5._attrs
 175758	nldidlnorm.Item.Component.Resource.mods.identifier5.text
 172403	nldidlnorm.Item.Component.Resource.mods.originInfo.place.placeTerm
 166477	nldidlnorm.Item.Component.Resource.mods.name4.namePart
 166464	Journal.relatedItem.originInfo.publisher
 166464	nldidlnorm.Item.Component.Resource.mods.relatedItem.originInfo.publisher
 165878	Keywords.topic7
 165878	nldidlnorm.Item.Component.Resource.mods.subject.topic7
 164944	nldidlnorm.Item.Component.Resource.mods.name2.role2.roleTerm._attrs
 159491	nldidlnorm.Item.Component.Resource.mods.subject1._attrs
 157208	nldidlnorm.Item.Component.Resource.mods.originInfo.place.placeTerm._attrs
 157208	nldidlnorm.Item.Component.Resource.mods.originInfo.place.placeTerm.text
